output_type;stripe;mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
seq;1K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_1K/1024x1024_out_par.h5;par;23.3835;1.10671;0.000441799
par;1K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_1K/1024x1024_out_par.h5;par;23.3835;1.35364;0.000540377
seq;1K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_1K/2048x2048_out_par.h5;par;21.6921;3.41135;0.00136182
par;1K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_1K/2048x2048_out_par.h5;par;21.6921;4.41868;0.00176394
seq;1K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_1K/4096x4096_out_par.h5;par;20.8461;11.7443;0.00468836
par;1K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_1K/4096x4096_out_par.h5;par;20.8461;14.2216;0.00567728
seq;2K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_2K/1024x1024_out_par.h5;par;23.3835;1.10229;0.000440036
par;2K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_2K/1024x1024_out_par.h5;par;23.3835;1.38568;0.000553164
seq;2K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_2K/2048x2048_out_par.h5;par;21.6921;3.39652;0.0013559
par;2K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_2K/2048x2048_out_par.h5;par;21.6921;3.94133;0.00157338
seq;2K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_2K/4096x4096_out_par.h5;par;20.8461;10.1794;0.00406362
par;2K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_2K/4096x4096_out_par.h5;par;20.8461;11.3433;0.00452826
seq;4K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_4K/1024x1024_out_par.h5;par;23.3835;1.11595;0.000445489
par;4K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_4K/1024x1024_out_par.h5;par;23.3835;1.38009;0.000550934
seq;4K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_4K/2048x2048_out_par.h5;par;21.6921;3.12617;0.00124797
par;4K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_4K/2048x2048_out_par.h5;par;21.6921;6.46404;0.00258045
seq;4K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_4K/4096x4096_out_par.h5;par;20.8461;11.6642;0.00465635
par;4K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_4K/4096x4096_out_par.h5;par;20.8461;13.3881;0.00534454
seq;8K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_8K/1024x1024_out_par.h5;par;23.3835;1.07388;0.000428694
par;8K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_8K/1024x1024_out_par.h5;par;23.3835;1.33902;0.000534539
seq;8K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_8K/2048x2048_out_par.h5;par;21.6921;3.17231;0.00126639
par;8K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_8K/2048x2048_out_par.h5;par;21.6921;6.74283;0.00269175
seq;8K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_8K/4096x4096_out_par.h5;par;20.8461;9.67563;0.00386253
par;8K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_8K/4096x4096_out_par.h5;par;20.8461;14.0587;0.00561224
seq;16K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_16K/1024x1024_out_par.h5;par;23.3835;1.08999;0.000435125
par;16K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_16K/1024x1024_out_par.h5;par;23.3835;1.36393;0.000544485
seq;16K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_16K/2048x2048_out_par.h5;par;21.6921;3.19327;0.00127476
par;16K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_16K/2048x2048_out_par.h5;par;21.6921;3.55733;0.00142009
seq;16K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_16K/4096x4096_out_par.h5;par;20.8461;11.8549;0.00473248
par;16K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_16K/4096x4096_out_par.h5;par;20.8461;12.0214;0.00479897
seq;32K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_32K/1024x1024_out_par.h5;par;23.3835;1.0808;0.000431458
par;32K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_32K/1024x1024_out_par.h5;par;23.3835;1.32039;0.0005271
seq;32K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_32K/2048x2048_out_par.h5;par;21.6921;3.18625;0.00127196
par;32K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_32K/2048x2048_out_par.h5;par;21.6921;7.61121;0.00303841
seq;32K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_32K/4096x4096_out_par.h5;par;20.8461;10.8242;0.00432103
par;32K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_32K/4096x4096_out_par.h5;par;20.8461;15.6587;0.00625096
seq;64K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_64K/1024x1024_out_par.h5;par;23.3835;1.10912;0.00044276
par;64K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_64K/1024x1024_out_par.h5;par;23.3835;2.04099;0.000814766
seq;64K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_64K/2048x2048_out_par.h5;par;21.6921;3.212;0.00128224
par;64K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_64K/2048x2048_out_par.h5;par;21.6921;7.28424;0.00290788
seq;64K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_64K/4096x4096_out_par.h5;par;20.8461;11.9399;0.00476643
par;64K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_64K/4096x4096_out_par.h5;par;20.8461;11.7964;0.00470916
seq;128K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_128K/1024x1024_out_par.h5;par;23.3835;1.13491;0.000453058
par;128K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_128K/1024x1024_out_par.h5;par;23.3835;1.60987;0.000642661
seq;128K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_128K/2048x2048_out_par.h5;par;21.6921;3.24829;0.00129672
par;128K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_128K/2048x2048_out_par.h5;par;21.6921;6.38991;0.00255086
seq;128K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_128K/4096x4096_out_par.h5;par;20.8461;10.282;0.0041046
par;128K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_128K/4096x4096_out_par.h5;par;20.8461;20.5515;0.00820417
seq;256K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_256K/1024x1024_out_par.h5;par;23.3835;1.09164;0.000435785
par;256K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_256K/1024x1024_out_par.h5;par;23.3835;1.38129;0.000551415
seq;256K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_256K/2048x2048_out_par.h5;par;21.6921;3.20511;0.00127948
par;256K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_256K/2048x2048_out_par.h5;par;21.6921;3.82428;0.00152666
seq;256K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_256K/4096x4096_out_par.h5;par;20.8461;10.9615;0.00437583
par;256K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_256K/4096x4096_out_par.h5;par;20.8461;11.5053;0.00459293
seq;512K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_512K/1024x1024_out_par.h5;par;23.3835;1.12204;0.000447921
par;512K;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_512K/1024x1024_out_par.h5;par;23.3835;1.39476;0.000556792
seq;512K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_512K/2048x2048_out_par.h5;par;21.6921;2.9001;0.00115772
par;512K;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_512K/2048x2048_out_par.h5;par;21.6921;7.18708;0.0028691
seq;512K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_512K/4096x4096_out_par.h5;par;20.8461;9.96762;0.00397909
par;512K;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_512K/4096x4096_out_par.h5;par;20.8461;14.4068;0.00575124
seq;1M;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_1M/1024x1024_out_par.h5;par;23.3835;1.1584;0.000462436
par;1M;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_1M/1024x1024_out_par.h5;par;23.3835;1.36947;0.000546696
seq;1M;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_1M/2048x2048_out_par.h5;par;21.6921;2.87523;0.0011478
par;1M;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_1M/2048x2048_out_par.h5;par;21.6921;7.14914;0.00285395
seq;1M;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_1M/4096x4096_out_par.h5;par;20.8461;10.8908;0.00434764
par;1M;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_1M/4096x4096_out_par.h5;par;20.8461;11.2347;0.00448493
seq;2M;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_2M/1024x1024_out_par.h5;par;23.3835;1.10654;0.000441734
par;2M;4;2;2;1;1024;2505;25;0.001;input_data_1024.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_2M/1024x1024_out_par.h5;par;23.3835;1.31071;0.000523236
seq;2M;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_2M/2048x2048_out_par.h5;par;21.6921;2.83295;0.00113092
par;2M;16;4;4;1;2048;2505;25;0.001;input_data_2048.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_2M/2048x2048_out_par.h5;par;21.6921;4.09511;0.00163477
seq;2M;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_2M/4096x4096_out_par.h5;par;20.8461;11.2904;0.00450713
par;2M;64;8;8;1;4096;2505;25;0.001;input_data_4096.h5;/scratch/project/dd-23-135/xmihol00/463915/stripe_2M/4096x4096_out_par.h5;par;20.8461;13.0552;0.00521167
