mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time;run;fs
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460609/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.49194;0.00140603;0;1
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460609/512x512_out_mpi_2d_par.h5;par;45.5803;2.03322;5.20512e-05;0;1
32;4;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460609/512x512_out_mpi_2d_par.h5;par;45.5799;1.91229;4.89554e-05;0;1
64;8;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460609/512x512_out_mpi_2d_par.h5;par;45.5802;1.83031;4.68565e-05;0;1
128;8;16;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460609/512x512_out_mpi_2d_par.h5;par;45.58;1.98235;5.07488e-05;0;1
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461617/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48656;0.00140465;1;1
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461617/512x512_out_mpi_2d_par.h5;par;45.5803;2.24349;5.7434e-05;1;1
32;4;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461617/512x512_out_mpi_2d_par.h5;par;45.5799;1.93369;4.95031e-05;1;1
64;8;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461617/512x512_out_mpi_2d_par.h5;par;45.5801;1.93617;4.95665e-05;1;1
128;8;16;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461617/512x512_out_mpi_2d_par.h5;par;45.58;2.02288;5.17863e-05;1;1
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460600/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48952;0.00140541;0;0
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460600/512x512_out_mpi_2d_par.h5;par;45.5803;2.19411;5.61699e-05;0;0
32;4;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460600/512x512_out_mpi_2d_par.h5;par;45.5799;1.77046;4.53242e-05;0;0
64;8;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460600/512x512_out_mpi_2d_par.h5;par;45.5802;1.77981;4.55638e-05;0;0
128;8;16;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/460600/512x512_out_mpi_2d_par.h5;par;45.58;1.98792;5.08913e-05;0;0
1;1;1;1;512;3906;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461998/512x512_out_mpi_2d_seq.h5;seq;28.3793;5.48756;0.00140491;1;0
16;4;4;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461998/512x512_out_mpi_2d_par.h5;par;45.5803;2.13875;5.47527e-05;1;0
32;4;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461998/512x512_out_mpi_2d_par.h5;par;45.5799;1.94655;4.98322e-05;1;0
64;8;8;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461998/512x512_out_mpi_2d_par.h5;par;45.5801;2.01439;5.1569e-05;1;0
128;8;16;1;512;39062;50;0.001;input_data_512.h5;/scratch/project/dd-23-135/xmihol00/461998/512x512_out_mpi_2d_par.h5;par;45.58;1.99684;5.11197e-05;1;0
