mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time;comm_delay;mode
2;2;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8103;1.32524;1.6963e-05;1870;1
2;2;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8103;1.47996;1.89435e-05;2530;2
2;2;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5815;1.25152;3.20394e-05;2030;1
2;2;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5815;1.37437;3.51844e-05;3137;2
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2149;1.82842;9.36162e-05;3100;1
2;2;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2149;1.99926;0.000102363;4746;2
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.90134;0.000399523;6707;1
2;2;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;4.08232;0.000418057;12258;2
2;2;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;9.92604;0.00203319;16819;1
2;2;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;10.077;0.0020641;30372;2
4;4;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;2.18168;2.79256e-05;6521;1
4;4;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;2.94632;3.77129e-05;10016;2
4;4;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5806;1.86026;4.76234e-05;12144;1
4;4;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5806;2.31928;5.93744e-05;11897;2
4;4;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2133;2.02155;0.000103505;23493;1
4;4;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2133;2.35458;0.000120556;15313;2
4;4;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.08832;0.000316264;59081;1
4;4;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.40942;0.000349147;24497;2
4;4;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;7.50111;0.00153648;196827;1
4;4;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;7.85077;0.0016081;58644;2
8;8;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.83488;2.34865e-05;5444;1
8;8;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;2.89053;3.69988e-05;12381;2
8;8;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5804;2.0829;5.3323e-05;8729;1
8;8;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5804;2.78501;7.12972e-05;14666;2
8;8;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2132;1.92455;9.8538e-05;18886;1
8;8;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2132;2.36366;0.000121021;18841;2
8;8;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.53635;0.000259739;47092;1
8;8;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.90754;0.000297751;29096;2
8;8;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;4.57361;0.000936832;167420;1
8;8;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;4.83526;0.000990427;46298;2
16;16;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.59652;2.04355e-05;4813;1
16;16;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8104;3.13902;4.01794e-05;14868;2
16;16;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5808;1.53073;3.91872e-05;6771;1
16;16;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5808;2.54996;6.52799e-05;17229;2
16;16;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2138;2.11082;0.000108075;15131;1
16;16;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2138;2.69689;0.000138082;22172;2
16;16;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.34874;0.000240526;46275;1
16;16;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.67365;0.0002738;30342;2
16;16;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.6639;0.000750492;160842;1
16;16;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.8465;0.000787893;38836;2
