file_id;mpi_procs;grid_tiles_x;grid_tiles_y;omp_threads;domain_size;n_iterations;disk_write_intensity;airflow;material_file;output_file;simulation_mode;middle_col_avg_temp;total_time;iteration_time
mpi_2d;1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.69976;0.000345592
mpi_2d;16;4;4;1;512;39062;50;0.001;input_data_512.h5;;par;45.5803;1.6504;4.22507e-05
mpi_2d;32;4;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2118;1.72016;8.80731e-05
mpi_2d;64;8;8;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.36277;0.000241963
mpi_2d;128;8;16;1;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.49592;0.000716084
hybrid_1d;1;1;1;1;256;7812;50;0.001;input_data_256.h5;;seq;43.2812;2.69;0.000344342
hybrid_1d;2;2;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5815;1.3481;3.45119e-05
hybrid_1d;4;4;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2133;2.37787;0.000121749
hybrid_1d;8;8;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.8652;0.000293416
hybrid_1d;16;16;1;16;4096;4882;50;0.001;input_data_4096.h5;;par;21.1715;3.92027;0.000803005
hybrid_1d_alternative;2;2;1;16;256;78125;50;0.001;input_data_256.h5;;par;83.8103;1.50063;1.92081e-05
hybrid_1d_alternative;4;4;1;16;512;39062;50;0.001;input_data_512.h5;;par;45.5806;2.31491;5.92624e-05
hybrid_1d_alternative;8;8;1;16;1024;19531;50;0.001;input_data_1024.h5;;par;29.2132;2.35801;0.000120732
hybrid_1d_alternative;16;16;1;16;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;2.71988;0.000278533
mpi_2d_alternative;16;4;4;1;256;78125;50;0.001;input_data_256.h5;;par;83.8104;1.80166;2.30613e-05
mpi_2d_alternative;32;4;8;1;512;39062;50;0.001;input_data_512.h5;;par;45.5799;1.64385;4.20832e-05
mpi_2d_alternative;64;8;8;1;1024;19531;50;0.001;input_data_1024.h5;;par;29.2119;1.94685;9.96798e-05
mpi_2d_alternative;128;8;16;1;2048;9765;50;0.001;input_data_2048.h5;;par;23.293;3.00688;0.000307924
